PLANT_ID,LIBRARY,GENETIC_SUBPOP_KINSHIP,SUBPOP,ECOTYPE_NNET,PLOIDY,COLLECTION_TYPE,COLLECTION_METHOD,COLLECTOR,STATE,COUNTY,LATITUDE,LONGITUDE,ELEVATION,NOTE_LATLONG,LOCALITY,TAXON,HABITAT,COLL_DATE,PLANTED_2018
J489.A,IILK,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley,Missouri,Barton,37.73674722,-94.32752778,273,"NA",Site Osage Prairie Conservation Area. 7.24 miles south of Nevada,Panicum virgatum,Upland,2015-08-23,Y
J489.B,IGPY,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley,Missouri,Barton,37.73674722,-94.32752778,273,"NA",Site Osage Prairie Conservation Area. 7.24 miles south of Nevada,Panicum virgatum,Upland,2015-08-23,Y
J489.C,IGQR,Midwest,Midwest,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley,Missouri,Barton,37.73674722,-94.32752778,273,"NA",Site Osage Prairie Conservation Area. 7.24 miles south of Nevada,Panicum virgatum,Upland,2015-08-23,Y
J490.A,IENT,Midwest,Midwest,Unknown,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley,Missouri,St. Clair,37.90641667,-94.01095,263,"NA",Site Wah-Kon-Tah Prairie Conservation Area. 2.17 miles north of El Dorado Springs,Panicum virgatum,Upland,2015-08-23,Y
J490.C,IFAJ,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley,Missouri,St. Clair,37.90641667,-94.01095,263,"NA",Site Wah-Kon-Tah Prairie Conservation Area. 2.17 miles north of El Dorado Springs,Panicum virgatum,Upland,2015-08-23,Y
J491.B,IFAK,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley,Missouri,St. Clair,38.049558330000004,-93.96668333,250,"NA",Site Taberville Prairie Conservation Area. 6 miles east of Rockville,Panicum virgatum,Upland,2015-08-23,Y
J496.A,IENU,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,Jefferson Parish,29.2618333,-89.9519722,8,"NA",Site Grand Isle State Park,Panicum virgatum,"NA",2015-09-24,Y
J496.C,IFAM,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,Jefferson Parish,29.2618333,-89.9519722,8,"NA",Site Grand Isle State Park,Panicum virgatum,"NA",2015-09-24,Y
J497.A,IENW,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,Jefferson Parish,29.1756667,-90.1293889,10,"NA",Site Highway 1,Panicum virgatum,"NA",2015-09-24,Y
J497.B,IFAN,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,Jefferson Parish,29.1756667,-90.1293889,10,"NA",Site Highway 1,Panicum virgatum,"NA",2015-09-24,Y
J498.A,IENX,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,St. Tammany Parish,30.2841667,-89.9177778,2,"NA",Site Big Branch Marsh NWR,Panicum virgatum,"NA",2015-09-25,Y
J498.B,IFAQ,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,St. Tammany Parish,30.2841667,-89.9177778,2,"NA",Site Big Branch Marsh NWR,Panicum virgatum,"NA",2015-09-25,Y
J498.C,IFAR,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,St. Tammany Parish,30.2841667,-89.9177778,2,"NA",Site Big Branch Marsh NWR,Panicum virgatum,"NA",2015-09-25,Y
J499.A,IFAS,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,St. Tammany Parish,30.3480833,-90.0571944,3,"NA",Site Fontainebleau State Park,Panicum virgatum,"NA",2015-09-25,Y
J499.C,IFAT,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Louisiana,St. Tammany Parish,30.3480833,-90.0571944,3,"NA",Site Fontainebleau State Park,Panicum virgatum,"NA",2015-09-25,Y
J500.A,IENZ,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Hancock,30.2629167,-89.4059444,17,"NA",Site Bucceneer State Park,Panicum virgatum,"NA",2015-09-25,Y
J500.B,IFAU,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Hancock,30.2629167,-89.4059444,17,"NA",Site Bucceneer State Park,Panicum virgatum,"NA",2015-09-25,Y
J500.C,IFAW,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Hancock,30.2629167,-89.4059444,17,"NA",Site Bucceneer State Park,Panicum virgatum,"NA",2015-09-25,Y
J501.A,IEPA,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Hancock,30.3871389,-89.4609167,8,"NA",Site McLeod Park,Panicum virgatum,"NA",2015-09-26,Y
J501.C,IRUR,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Hancock,30.3871389,-89.4609167,8,"NA",Site McLeod Park,Panicum virgatum,"NA",2015-09-26,Y
J502.A,IEPB,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Jackson,30.3765278,-88.6338056,14,"NA",Site Shepard State Park,Panicum virgatum,"NA",2015-09-26,Y
J502.C,IFAX,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Jackson,30.3765278,-88.6338056,14,"NA",Site Shepard State Park,Panicum virgatum,"NA",2015-09-26,Y
J503.A,IEPC,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Forest,31.1382778,-89.2423056,65,"NA",Site Paul B. Johnson State Park,Panicum virgatum,"NA",2015-09-27,Y
J504.A,IEPD,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Marion,31.1699444,-89.7297778,70,"NA",Site Marion County WMA,Panicum virgatum,"NA",2015-09-27,Y
J504.B,IRUS,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Marion,31.1699444,-89.7297778,70,"NA",Site Marion County WMA,Panicum virgatum,"NA",2015-09-27,Y
J504.C,IFAZ,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,Mississippi,Marion,31.1699444,-89.7297778,70,"NA",Site Marion County WMA,Panicum virgatum,"NA",2015-09-27,Y
J514.A,IEPF,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,J.D Palacio-Mejia,Texas,Kimble,30.452063,-99.7995125,521,"NA",South Llano River State Park,Panicum virgatum,"NA",2015-09-05,Y
J515.A,IRUT,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Massachusetts,Essex,42.67666667,-70.75944444,2,"NA","Collected in beach dunes of Crane Beach Reservation (TTCR), Essex County. Major Land Resource Area 144A.",Panicum virgatum,"NA",NA,Y
J515.C,IILN,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Massachusetts,Essex,42.67666667,-70.75944444,2,"NA","Collected in beach dunes of Crane Beach Reservation (TTCR), Essex County. Major Land Resource Area 144A.",Panicum virgatum,"NA",NA,Y
J517.A,IGPK,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.983442,-72.615855,19,"NA","Around shoreline of saltwater pond, 1/3 mile west of Brent State Park parking lot, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J517.B,IILQ,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.983442,-72.615855,19,"NA","Around shoreline of saltwater pond, 1/3 mile west of Brent State Park parking lot, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J517.C,IILR,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.983442,-72.615855,19,"NA","Around shoreline of saltwater pond, 1/3 mile west of Brent State Park parking lot, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J521.A,IGQE,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New Jersey,Ocean,39.965255,-74.311821,17,"NA",Ocean County. Major Land Resource Area 149A.,Panicum virgatum,"NA",NA,Y
J521.B,IILS,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New Jersey,Ocean,39.965255,-74.311821,17,"NA",Ocean County. Major Land Resource Area 149A.,Panicum virgatum,"NA",NA,Y
J521.C,IILT,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New Jersey,Ocean,39.965255,-74.311821,17,"NA",Ocean County. Major Land Resource Area 149A.,Panicum virgatum,"NA",NA,Y
J522.A,IEPH,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New Jersey,Warren,39.644042,-74.644024,8,"NA","BATSTP 542 at River, right side of road.",Panicum virgatum,"NA",NA,Y
J522.B,IILU,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New Jersey,Warren,39.644042,-74.644024,8,"NA","BATSTP 542 at River, right side of road.",Panicum virgatum,"NA",NA,Y
J522.C,IILW,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New Jersey,Warren,39.644042,-74.644024,8,"NA","BATSTP 542 at River, right side of road.",Panicum virgatum,"NA",NA,Y
J525.A,IEPI,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.902747,-72.570629,1,"NA","Hubbard County Park in Suffolk County, north side of buildings along north shoreline. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J525.B,IHXK,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.902747,-72.570629,1,"NA","Hubbard County Park in Suffolk County, north side of buildings along north shoreline. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J525.C,IGQP,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.902747,-72.570629,1,"NA","Hubbard County Park in Suffolk County, north side of buildings along north shoreline. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J527.A,IILZ,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.90886,-72.446203,0,"NA","By gate near Sebonic Inlet Road in national natural area near golf course, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J527.C,IIMB,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.90886,-72.446203,0,"NA","By gate near Sebonic Inlet Road in national natural area near golf course, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J530.A,IEPJ,Midwest,Midwest,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Orange,41.16611111,-74.26833333,683,"NA","Sterling Forest area on NE side of Sterling Forest lake, Orange County. Major Land Resource Area 144A.",Panicum virgatum,"NA",NA,Y
J530.B,IFBB,Midwest,Midwest,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Orange,41.16611111,-74.26833333,683,"NA","Sterling Forest area on NE side of Sterling Forest lake, Orange County. Major Land Resource Area 144A.",Panicum virgatum,"NA",NA,Y
J534.A,IGNW,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Richmond,40.58555556,-74.11888889,52,"NA","Seaview, Brielle Avenue between Brady and Manor Road, Richmond County. Major Land Resource Area 144A.",Panicum virgatum,"NA",NA,Y
J534.C,IGPG,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Richmond,40.58555556,-74.11888889,52,"NA","Seaview, Brielle Avenue between Brady and Manor Road, Richmond County. Major Land Resource Area 144A.",Panicum virgatum,"NA",NA,Y
J535.A,IEPL,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Juenger,Texas,Travis ,30.24331,-98.0064274,454,"NA",Ecolab Property. Pedernales River,Panicum virgatum,"NA",2015-12-10,Y
J536.A,IEPM,Midwest,Midwest,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.104452,-73.451446,27,"NA","NCC Campus, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J536.B,IIMD,Midwest,Midwest,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.104452,-73.451446,27,"NA","NCC Campus, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J536.C,IFBC,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.104452,-73.451446,27,"NA","NCC Campus, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J537.B,IGQA,Atlantic,Atlantic,Upland,4X,Natural Collection,Unknown,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J537.C,IIBQ,Atlantic,Atlantic,Upland,4X,Natural Collection,Unknown,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J538.A,IJAW,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J538.B,IGQT,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J538.C,IHYE,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J539.A,IEPN,Midwest,Midwest,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.104452,-73.451446,27,"NA","NCC Campus, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J539.B,IIME,Midwest,Midwest,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.104452,-73.451446,27,"NA","NCC Campus, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J540.A,IEPP,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J540.B,IIMG,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J540.C,IIMH,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.017143,-72.001407,43,"NA","TRC Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J541.A,IIMI,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.015697,-72.020153,2,"NA","H. H. State Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J541.B,IIMJ,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.015697,-72.020153,2,"NA","H. H. State Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J541.C,IRUU,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.015697,-72.020153,2,"NA","H. H. State Park, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J542.A,IEPQ,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,41.032321,-72.196464,1,"NA","Sammy's Beach, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J542.B,IIMK,Atlantic,Atlantic,Upland,4X,Natural Collection,Unknown,T. Juenger,New York,Suffolk,41.032321,-72.196464,1,"NA","Sammy's Beach, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J542.C,IGRM,Atlantic,Atlantic,Upland,4X,Natural Collection,Unknown,T. Juenger,New York,Suffolk,41.032321,-72.196464,1,"NA","Sammy's Beach, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,"NA",NA,Y
J574.A,IEPT,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.981698,-72.616528,28,"NA",Suffolk County. Major Land Resource Area 144B.,Panicum virgatum,"NA",NA,Y
J574.B,IIMM,Atlantic,Atlantic,Upland,4X,Natural Collection,Unknown,T. Juenger,New York,Suffolk,40.981698,-72.616528,28,"NA",Suffolk County. Major Land Resource Area 144B.,Panicum virgatum,"NA",NA,Y
J574.C,IRUW,Atlantic,Atlantic,Upland,4X,Natural Collection,Unknown,T. Juenger,New York,Suffolk,40.981698,-72.616528,28,"NA",Suffolk County. Major Land Resource Area 144B.,Panicum virgatum,"NA",NA,Y
J576.A,IEPU,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Georgia,Bryan,31.82015,-81.25658333,38,"NA","Bryan County. Vicinity of 20000 Highway 144 Right of Way, Richmond Hill, Georgia",Panicum virgatum,"NA",NA,Y
J576.B,IFBD,Atlantic,Atlantic,Coastal,4X,Natural Collection,Unknown,T. Juenger,Georgia,Bryan,31.82015,-81.25658333,38,"NA","Bryan County. Vicinity of 20000 Highway 144 Right of Way, Richmond Hill, Georgia",Panicum virgatum,"NA",NA,Y
J576.C,IFBE,Atlantic,Atlantic,Coastal,4X,Natural Collection,Unknown,T. Juenger,Georgia,Bryan,31.82015,-81.25658333,38,"NA","Bryan County. Vicinity of 20000 Highway 144 Right of Way, Richmond Hill, Georgia",Panicum virgatum,"NA",NA,Y
J577.A,IEPW,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,South Carolina,Jasper,32.29675,-81.10216667,56,"NA","Jasper County. Vicinity of 1574 Church Road Right of Way, Hardeeville, South Carolina on north side of road",Panicum virgatum,"NA",NA,Y
J577.B,IFBF,Atlantic,Atlantic,Coastal,4X,Natural Collection,Unknown,T. Juenger,South Carolina,Jasper,32.29675,-81.10216667,56,"NA","Jasper County. Vicinity of 1574 Church Road Right of Way, Hardeeville, South Carolina on north side of road",Panicum virgatum,"NA",NA,Y
J578.A,IEPX,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Beaufort,35.59595,-76.82933333,23,"NA","Beaufort County. Vicinity of 716 Terr Ceia Road Right of Way, Pantego, North Carolina",Panicum virgatum,"NA",NA,Y
J580.A,IRUY,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Vugteveen,Illinois,DuPage,41.8610833,-88.2540556,741,Check ACC Info for Exact,"Fermi National Accelerator Laboratory (Fermilab), Batavia, IL. North Remnant. East Remnant",Panicum virgatum,Description: Remnant of mesic to wet mesic black soil native prairie along railroad right of way on east side of Fermilab on Wauconda silt loam (a transitional forest/grassland soil) and Drummer silty clay loam (grassland soil). Based on soil series thi,2015-10-26,Y
J581.C,IJAY,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Vugteveen,Illinois,Cook,42.0595833,-87.8422222,655,Check ACC Info for Exact,"James Woodworth Prairie, 9831 North Milwaukee Avenue, Glenview, IL",Panicum virgatum,"Description: Site is a remnant characteristic a mesic black soil native prairie maintained by the University of Illinois Chicago on Frankfort silt loam. Based on the soil series (a transitional forest/grassland soil), this area was probably savannah (op",2015-10-20,Y
J582.A,IJAZ,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Vugteveen,Illinois,Will,41.365,-88.1866944,525,Check ACC Info for Exact,"Midewin National Tallgrass Prairie near Wilmington, IL. Grant Creek. Blodgett Rd. Exxon Mobile",Panicum virgatum,"Description: Native dolomite prairie remnant on Channahon silt loam and Joliet silt loam (possibly Millsdale silty clay loam). Bedrock can be within ~10-20 inches, but may be a bit deeper here. This was the wettest of the sites at Midewin, with bullrus",2015-10-23,Y
J582.C,IJBA,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Vugteveen,Illinois,Will,41.365,-88.1866944,525,Check ACC Info for Exact,"Midewin National Tallgrass Prairie near Wilmington, IL. Grant Creek. Blodgett Rd. Exxon Mobile",Panicum virgatum,"Description: Native dolomite prairie remnant on Channahon silt loam and Joliet silt loam (possibly Millsdale silty clay loam). Bedrock can be within ~10-20 inches, but may be a bit deeper here. This was the wettest of the sites at Midewin, with bullrus",2015-10-23,Y
J583.C,IJBB,Midwest,Midwest,Upland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,S. Kirt-Alterio,Indiana,Lake,41.6361111,-87.4364722,588,"NA","ArcelorMittal Global R&D, 3001 E Columbus Dr, East Chicago, IN",Panicum virgatum,"Description: Remnant dune and swale native sand prairie on Oakville-Adrian soil complex, which has dry sandy dunes on Oakville fine sand interspersed with wetter swale lines on Adrian muck, which is still sandy but has much more organic material. Indian ",2015-10-20,Y
J584.A,IHWW,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Beaufort,32.34363,-80.45525,2,"NA",Huntington Island State Park,Panicum virgatum,Marshy; Palmetto Forest canopy. Clumpy Distrubution ,2015-11-16,Y
J584.B,IHXG,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Beaufort,32.34363,-80.45525,2,"NA",Huntington Island State Park,Panicum virgatum,Marshy; Palmetto Forest canopy. Clumpy Distrubution ,2015-11-16,Y
J584.C,IRUZ,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Beaufort,32.34363,-80.45525,2,"NA",Huntington Island State Park,Panicum virgatum,Marshy; Palmetto Forest canopy. Clumpy Distrubution ,2015-11-16,Y
J585.A,IHYA,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Charleston,32.86471,-79.83733,1,"NA",Palmetto Island County Park,Panicum virgatum,Marshy; Juniper woodlands. On the Trail to Nature Island. Clumpy Distrubution,2015-11-16,Y
J585.B,IJBC,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Charleston,32.86471,-79.83733,1,"NA",Palmetto Island County Park,Panicum virgatum,Marshy; Juniper woodlands. On the Trail to Nature Island. Clumpy Distrubution,2015-11-16,Y
J585.C,IHYT,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Charleston,32.86471,-79.83733,1,"NA",Palmetto Island County Park,Panicum virgatum,Marshy; Juniper woodlands. On the Trail to Nature Island. Clumpy Distrubution,2015-11-16,Y
J586.A,IHZM,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Georgetown,33.50804,-79.06522,2,"NA",Huntington Beach State Park,Panicum virgatum,"Marshy in mud; Pine, Juniper, Oak Woodlands. Yaupon understory. Clumpy Distrubution",2015-11-17,Y
J586.B,IJBD,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Georgetown,33.50804,-79.06522,2,"NA",Huntington Beach State Park,Panicum virgatum,"Marshy in mud; Pine, Juniper, Oak Woodlands. Yaupon understory. Clumpy Distrubution",2015-11-17,Y
J586.C,IJBE,Atlantic,Atlantic,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Georgetown,33.50804,-79.06522,2,"NA",Huntington Beach State Park,Panicum virgatum,"Marshy in mud; Pine, Juniper, Oak Woodlands. Yaupon understory. Clumpy Distrubution",2015-11-17,Y
J587.A,IIAE,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Richland,34.08622,-81.11703,94,"NA",Harbinson State Forest,Panicum virgatum,"Claysoil; Pine Forest. Plant Associations Oaks, Bluestem, Sweetgum, other panicum sp. On Midland Mountain Trail.",2015-11-18,Y
J587.B,IRWA,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,Matt Donahue,South Carolina,Richland,34.08622,-81.11703,94,"NA",Harbinson State Forest,Panicum virgatum,"Claysoil; Pine Forest. Plant Associations Oaks, Bluestem, Sweetgum, other panicum sp. On Midland Mountain Trail.",2015-11-18,Y
